id,startdate,datestamp,gender,bundesland,age,education,university,recall,recallland,recallland_other,econinterven,saleconinterven,environment,salenvironment,protectionism,salprotectionism,redistribution,salredistribution,eucohesion,saleucohesion,euenlargement,saleuenlargement,euforeign,saleuforeign,euintegrationtoofar,saleuintegrationtoofar,euposition,saleuposition,civliblaworder,salcivliblaworder,immigratepolicy,salimmigratepolicy,lgb,sallgb,multiculturalism,salmulticulturalism,trans,saltrans,urbanrural,salurbanrural,random,ptv_spd,ptv_cdu,ptv_csu,ptv_greens,ptv_fdp,ptv_afd,ptv_left,ptv_bsw,ptv_freevoters,ptv_volt,ptv_climatelist,votinteu,normdem,demsat,popnonreg_pc1,popnonreg_pc2,popnonreg_pc4,popnonreg_pc5,popnonreg_pc6,popnonreg_pc7,popnonreg_pc8,popreg_pc1,popreg_pc2,popreg_pc4,popreg_pc5,popreg_pc6,popreg_pc7,popreg_pc8,popreg_pc9,popreg_pc10,popreg_pc12,popreg_pc13,popreg_pc14,popreg_pc15,popreg_pc16,peoplecentrism,antielitism,polint,euitems_pc1,euitems_pc3,euitems_pc4,euitems_pc5,euitems_pc6,euitems_pc7,euitems_pc8,popgen_pc1,popgen_pc2,popgen_pc5,popgen_pc6,popgen_pc7,wishesmajority,wishesmajority_spd,wishesmajority_cdu,wishesmajority_csu,wishesmajority_greens,wishesmajority_fdp,wishesmajority_afd,wishesmajority_left,wishesmajority_bsw,wishesmajority_freevoters,wishesmajority_nonofparties,votint,trustslider_breg,trustslider_btag,trustslider_parties,trustslider_politicians,trustslider_eu,trustslider_nato,trustslider_army,trustslider_russia,trustslider_usa,trustslider_china,trustslider_bverfg,trustslider_verfsch,lrgen,socself,urbanrurallive,out,w
150,2024-05-28T21:02:44Z,2024-05-28T21:16:54Z,2,6,10,5,2,3,NA,NA,10,7,2,10,6,8,3,10,6,4.5,4,7,10,10,9,9.5,9,8,9,7,2,10,8,7,5,7.5,5,1,8,6.5,1,2.5,-4.5,-5,5,-5,2.5,-4,-4,-3.5,-3.5,-4.5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,5,4,4,4,4,5,3,4,2,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,4,-2.5,0.5,3,1,1.5,-5,3,-5,5,3.5,3,7.5,1,FALSE,1.2452753375614136
160,2024-05-28T21:07:29Z,2024-05-28T21:15:08Z,1,3,4,5,2,3,NA,NA,9,9,7,6,9.5,7,9,9,8,3,5.5,5.5,8.5,7.5,3.5,6.5,7.5,5.5,8,8,10.5,11,9,7,11,10,1,11,6,6,1,-4,3,-3,5,5,-5,-5,-5,1,-3,-2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.5,NA,5,4,3,4,4,1,5,1,1,4,2,4,4,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,2,-2,1.5,-1,-1,2,4,3,-5,4,-5,4,1,5.5,5,1,FALSE,0.5165169198030002
167,2024-05-28T21:07:34Z,2024-05-28T21:17:43Z,2,10,6,5,2,3,NA,NA,2,7,1,11,3,6,2,9,8,6,9,6,9,10.5,9,6,10,7,7,7,4.5,7,10,6,6,6,9,6,3,4,1,0,-3.5,-5,5,-5,-5,-5,-5,-5,5,0,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,5,5,5,4,5,5,5,5,2,4,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,0,2,3,3,-5,2,-5,3,3,5,8,3,FALSE,1.4158784021421338
168,2024-05-28T21:07:36Z,2024-05-28T21:19:31Z,1,10,6,5,1,3,NA,NA,5,5,5,7.5,4.5,7.5,4,7.5,4,7,7.5,8,7.5,7,7.5,8,8,8.5,5,6.5,6.5,7,9.5,7,6.5,5.5,9,3.5,6,6,1,-4,-5,-5,5,-1.5,-5,-5,-5,-4,-4.5,-4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,4,4,3.5,5,5,4,5,4,5,5,5,5,2,2,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,1,1.5,1.5,1.5,3,5,-5,1,-5,1,2,5,7,4,FALSE,0.6281882481274339
189,2024-05-28T21:07:55Z,2024-05-28T21:18:27Z,2,9,9,5,2,3,NA,NA,6,5,2,9,7,5.5,5,6.5,7,5.5,6,NA,9.5,8,8,6.5,6,NA,5.5,6,5,6.5,11,10.5,4.5,7,11,9,4.5,7,1,1,-5,-5,4.5,-5,-5,-5,-5,-5,3,0,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,5,4,5,3,4,5,4,4,3,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,-5,1,-2,4,1,4,9.5,4,FALSE,1.2452753375614136
239,2024-05-28T21:08:33Z,2024-05-28T21:21:44Z,1,5,12,5,2,2,NA,NA,4.5,8.5,5,7,3,9,2,9,8.5,8,9,7,9,8,8,7,11,11,3,8.5,3.5,8,8,7,2,6,7,6,6,8,1,4,4,NA,3.5,2.5,-5,-4,-5,-5,-5,-4,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,5.5,4,5,5,4,4,5,5,5,2,2,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.5,4,1,2.5,3.5,4,3.5,-5,-1,-5,4.5,4.5,5,10,1,FALSE,1.050615698853713
242,2024-05-28T21:08:33Z,2024-05-28T21:39:58Z,1,2,6,4,2,3,NA,NA,4,8,4.5,8,9,NA,4,8.5,7.5,5.5,7,NA,9,7,8.5,8,8,NA,3.5,7,4.5,7.5,10,10,7,NA,9,NA,6,6,1,2.5,1,-4,4,-0.5,-5,-3.5,-1.5,-2,3,0,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,1,6.5,7,4,4,5,3,5,5,3,4,4,3,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,2,0,1,-1,-4.5,-1,-3,3,3,5,9,6,FALSE,0.7497212398084533
250,2024-05-28T21:08:37Z,2024-05-28T21:14:27Z,1,3,4,5,2,1,NA,NA,3,4.5,4.5,NA,1,NA,2,NA,10.5,NA,9.5,NA,8.5,NA,7.5,NA,11,NA,8,NA,7,NA,10.5,NA,7.5,NA,11,NA,2.5,NA,1,4.5,-0.5,-4.5,1,2,-5,-4,-4,-2.5,5,-4,9,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,NA,4,5,3,5,5,5,3,5,2,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.5,4.5,1.5,3,4,4.5,4,-5,0.5,-3,5,3.5,5,8.5,1,FALSE,0.5165169198030002
257,2024-05-28T21:08:43Z,2024-05-28T21:21:08Z,2,1,9,2,2,1,NA,NA,6.5,6.5,5,5.5,7,7,4.5,4.5,6.5,6.5,7,7.5,9,9,6.5,6.5,6.5,6.5,9,9,10,9,7,6.5,11,10,5.5,5.5,5.5,5.5,1,-4,-5,-5,0.5,-5,-5,-5,-5,0.5,-5,0.5,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,4,5,4,6.5,6.5,3,3,4,2,4,4,4,3,4,4,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,33,-2.5,-1.5,-2,-5,-2,1,1,-5,1,-5,4,0.5,6.5,5.5,3,FALSE,1.481532600219107
260,2024-05-28T21:08:46Z,2024-05-28T21:25:20Z,1,10,6,5,1,3,NA,NA,6,11,2.5,11,6,9,6,6,6,6,11,11,9,11,6,6,11,11,9,11,6,11,6,6,11,11,6,11,8.5,3,2,0,0,-5,5,0,-5,-5,-5,-5,-5,-5,3,5,3,3,4,3,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,5,5,4,5,5,3,1,3,2,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3.5,0,0,0,2,1,-5,1.5,-5,5,5,6,6,1,FALSE,0.6281882481274339
261,2024-05-28T21:08:47Z,2024-05-28T21:24:09Z,2,3,10,5,2,3,NA,NA,4,NA,2,10.5,6.5,NA,1,11,7,NA,11,11,11,11,10,NA,10,10,8.5,7.5,4,9,11,11,7,NA,11,11,7,NA,1,-0.5,-5,-5,5,-5,-5,-5,-5,-5,-5,0.5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,4,3,4,4,4,4,4,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,0,0,1,3,3,-5,0.5,-5,2,2,6,11,1,FALSE,0.7436631875263369
264,2024-05-28T21:08:50Z,2024-05-28T21:20:56Z,1,6,6,4,2,1,NA,NA,3,NA,3.5,6,4.5,6,2.5,9,7.5,6,9.5,7,9,8,6.5,6,8.5,6,8,6,3.5,7.5,11,11,2,9,11,8.5,6.5,6,2,0,-4.5,-5,4,-4.5,-5,-4.5,-5,0,0,-1.5,3,5,3,3,2,3,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,4,4,5,3,4,4,2,3,4,4,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,0,0.5,-1,1,2,1,-5,1,-5,4,2.5,2.5,9.5,1,FALSE,0.7387461426411293
265,2024-05-28T21:08:51Z,2024-05-28T21:19:40Z,1,7,7,5,1,3,NA,NA,11,7.5,6.5,7,11,9,9,8,7.5,7.5,11,9,11,9,11,9,11,11,7,7,3,9,11,7,5,7.5,8,7.5,9,8,2,-2,0.5,0.5,3.5,1.5,-5,-5,-5,-5,3.5,-1,4,NA,4,1,2,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-4,4,2,-0.5,3,4.5,5,-5,3,-5,5,5,6.5,6.5,1,FALSE,0.4810272088616976
283,2024-05-28T21:09:08Z,2024-05-28T21:20:28Z,2,15,7,5,1,3,NA,NA,2,8,1,10.5,3,NA,2,9,9.5,8.5,8,7.5,9.5,7,10,7.5,11,11,6,8,1.5,10,11,9.5,1,9.5,11,NA,2,NA,1,4.5,-4,-5,5,-5,-5,-3,-5,-5,2.5,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,5,4,5,4,2,5,2,4,2,3,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.5,2,1.5,NA,2.5,1,1,-5,2,-5,3,2,2,11,1,FALSE,1.0200190942790648
292,2024-05-28T21:09:17Z,2024-05-28T21:44:31Z,2,10,7,4,2,3,NA,NA,5.5,7.5,5.5,9,5,4,2.5,9.5,9,9,11,11,9,10,8.5,8.5,11,11,4,6.5,6.5,11,11,11,5,7.5,11,11,7.5,7.5,1,-4,-5,-5,4,-5,-5,-5,-5,-5,-5,-5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,4,3,7,3,NA,2,5,3,4,4,5,5,3,3,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,-3,1,2.5,1,3,0.5,-5,3,-5,1,-3.5,6,7,1,FALSE,1.4158784021421338
295,2024-05-28T21:09:22Z,2024-05-28T21:22:16Z,2,1,8,3,2,4,NA,NA,5.5,8.5,4.5,9,7,7.5,7,7.5,5,8.5,7,8.5,5,10.5,5,8,5,8,8.5,9.5,9,9.5,6,5,8.5,9,5,4.5,7,7.5,2,-4.5,3.5,-4.5,-3,2,-5,-5,1,2.5,-5,-0.5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9,4,4,3,2,4,4,4,4,3,3,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,99,-4,-2.5,-2.5,-2,-1.5,2.5,4.5,-5,1.5,-5,0,-1,6,4.5,4,FALSE,1.481532600219107
337,2024-05-28T21:10:07Z,2024-05-28T21:26:13Z,1,3,13,5,1,1,NA,NA,4,7,3,9,4,6.5,4.5,7.5,9,7,8,5,10,9,8,8,9.5,9.5,5,5.5,5,7,8.5,5,4,7,7.5,5,8,5.5,2,4,-4,-5,4,-4,-5,-2.5,-5,-5,-2,-3.5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,4,4,5,3,4,5,4,4,2,3,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,1,1,1,1,-5,1.5,-4,4,2,4,7,1,FALSE,0.47222023833971066
345,2024-05-28T21:10:18Z,2024-05-28T21:25:34Z,1,10,9,5,2,1,NA,NA,5,8,7,8,8.5,8,6,5,7,6,8,5,9.5,8.5,7,7,7.5,6,8,7,8.5,7,5,6,8.5,9,4,3.5,4,6.5,2,-1,4,-5,2,3,-5,-5,-5,-5,2,-2.5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,5,4,5,4,4,5,3,4,3,3,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-3,2,0,2,3,4,3,-5,-2.5,-4,4,3,7,5,4,FALSE,0.9285192683272518
355,2024-05-28T21:10:25Z,2024-05-28T21:33:30Z,1,2,12,5,2,2,NA,NA,4,8.5,6,6,4,9,8.5,7.5,8,8.5,4,9,10,9.5,6,8.5,7.5,11,8,9.5,9,8.5,6,6,8.5,8,6,6,6,6,2,0,0,4,-2.5,1.5,-5,-5,-5,0.5,-5,-5,2,5,4,3,3,4,3,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,9,5,4,5,3,5,5,4,4,3,3,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,-2,1,0,2,3,-5,0,-2,4,3,8,8.5,1,FALSE,0.6964546518454177
360,2024-05-28T21:10:27Z,2024-05-28T21:20:52Z,1,11,8,5,2,3,NA,NA,5,7,4,9,9,9,5.5,8,6.5,7,7.5,7.5,9,10,9,9,6,10.5,8,8,6.5,10.5,10,8,6.5,6.5,8.5,8.5,6.5,6.5,2,-2.5,-4,-5,4,-2.5,-5,-3.5,-5,-1.5,4,1.5,9,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4,5,5,3,5,5,4,4,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.5,0.5,0.5,0.5,-0.5,2.5,2.5,-5,2,-4,5,3.5,5.5,6.5,2,FALSE,0.8060070658588969
369,2024-05-28T21:10:34Z,2024-05-28T21:28:43Z,2,9,12,4,2,3,NA,NA,5,6.5,2,10,5,3,3,9,6.5,6.5,7,7,8,8,5,5,10,10,5.5,8.5,3,10,11,NA,3,10,10,10,4,9,1,-4,-5,-5,5,-5,-5,-5,-5,-5,-5,-1,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,3,5,5,4,5,5,4,5,2,2,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,1,3,3.5,2,-5,-1,-5,5,4,3,10,4,FALSE,1.71379859576923
372,2024-05-28T21:10:38Z,2024-05-28T21:22:16Z,2,10,6,5,2,4,NA,NA,5.5,8,6.5,6.5,6,6,5.5,6,7,7,10,8,6.5,7,6,6.5,11,8,11,11,7.5,7.5,11,11,11,8.5,11,9,7.5,7.5,2,1,0.5,1,-1,NA,-5,-0.5,-4.5,-4.5,-5,-1,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,3,3,5,2,5,3,5,3,4,5,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,-1,-1,-2.5,-4.5,-1.5,1,1,-2,-1,-0.5,-1,1,1,7,2,FALSE,1.4158784021421338
402,2024-05-28T21:11:17Z,2024-05-28T21:28:41Z,1,10,12,2,2,4,NA,NA,9,6,8.5,8.5,1,1,8.5,8.5,8,3.5,1,3,9,9,4,6,7,7,11,11,9,9,9,6,9,9,7,4,4,4,2,-5,5,0,-5,1,NA,NA,-2,0,0,-5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,4,4,4,3,4,4,2,2,2,3,2,5,2,4,NA,Y,NA,NA,Y,NA,NA,NA,NA,NA,2,-3,2,0.5,0,0,3,2.5,-5,0,-5,2,2,8,6,2,FALSE,1.1908090855869238
