item,value,text,question
euitems_pc4,4,Somewhat agree,Agreement with: 'The European Parliament takes into account the concerns of European citizens'
euitems_pc4,5,Strongly agree,Agreement with: 'The European Parliament takes into account the concerns of European citizens'
euitems_pc5,1,Strongly disagree,Agreement with: 'I feel connected to Germany'
euitems_pc5,2,Somewhat disagree,Agreement with: 'I feel connected to Germany'
euitems_pc5,3,Partly agree/Partly disagree,Agreement with: 'I feel connected to Germany'
euitems_pc5,4,Somewhat agree,Agreement with: 'I feel connected to Germany'
euitems_pc5,5,Strongly agree,Agreement with: 'I feel connected to Germany'
euitems_pc6,1,Strongly disagree,Agreement with: 'I feel connected to Europe'
euitems_pc6,2,Somewhat disagree,Agreement with: 'I feel connected to Europe'
euitems_pc6,3,Partly agree/Partly disagree,Agreement with: 'I feel connected to Europe'
euitems_pc6,4,Somewhat agree,Agreement with: 'I feel connected to Europe'
euitems_pc6,5,Strongly agree,Agreement with: 'I feel connected to Europe'
euitems_pc7,1,Strongly disagree,Agreement with: 'It is very important to me to know which candidates are elected to the EU Parliament in the EU elections'
euitems_pc7,2,Somewhat disagree,Agreement with: 'It is very important to me to know which candidates are elected to the EU Parliament in the EU elections'
euitems_pc7,3,Partly agree/Partly disagree,Agreement with: 'It is very important to me to know which candidates are elected to the EU Parliament in the EU elections'
euitems_pc7,4,Somewhat agree,Agreement with: 'It is very important to me to know which candidates are elected to the EU Parliament in the EU elections'
euitems_pc7,5,Strongly agree,Agreement with: 'It is very important to me to know which candidates are elected to the EU Parliament in the EU elections'
euitems_pc8,1,Strongly disagree,Agreement with: 'It is very important to me to know which party has the most representatives for Germany after the elections'
euitems_pc8,2,Somewhat disagree,Agreement with: 'It is very important to me to know which party has the most representatives for Germany after the elections'
euitems_pc8,3,Partly agree/Partly disagree,Agreement with: 'It is very important to me to know which party has the most representatives for Germany after the elections'
euitems_pc8,4,Somewhat agree,Agreement with: 'It is very important to me to know which party has the most representatives for Germany after the elections'
euitems_pc8,5,Strongly agree,Agreement with: 'It is very important to me to know which party has the most representatives for Germany after the elections'
euposition,1,Strongly opposed,The user's general attitude toward European integration
euposition,11,Strongly in favor,The user's general attitude toward European integration
gender,1,Man,Gender of the user
gender,2,Woman,Gender of the user
gender,3,Diverse,Gender of the user
gender,4,Other,Gender of the user
immigratepolicy,0,Strongly supports open/liberal immigration policies,The user's opinion on immigration policies
immigratepolicy,10,Strongly supports strict/restrictive immigration policies,The user's opinion on immigration policies
lgb,1,The rights of sexual minorities should be restricted,"The user's opinion on expanding or restricting the rights of sexual minorities such as Gays, Bisexuals and Lesbians"
lgb,11,The rights of sexual minorities should be expanded,"The user's opinion on expanding or restricting the rights of sexual minorities such as Gays, Bisexuals and Lesbians"
lrgen,1,Left,Self-positioning on a general scale from 'left' to 'right'
lrgen,11,Right,Self-positioning on a general scale from 'left' to 'right'
multiculturalism,1,Strongly favor a multicultural society,The user's opinion on whether they prefer a multicultural society or that migrants adapt to the country's culture
multiculturalism,11,Strongly favor that migrants adapt,The user's opinion on whether they prefer a multicultural society or that migrants adapt to the country's culture
normdem,-5,Not at all important,How important is it to the user to live in a country that is democratically governed?
normdem,5,Absolutely important,How important is it to the user to live in a country that is democratically governed?
out,,Output variable,Output or result variable
peoplecentrism,1,Not at all,"User's opinion on the statement that people should always have the final say, not political parties or politicians"
peoplecentrism,11,Very much,"User's opinion on the statement that people should always have the final say, not political parties or politicians"
polint,1,Not at all,User's self-assessed interest in politics
polint,2,Not very interested,User's self-assessed interest in politics
polint,3,Moderate,User's self-assessed interest in politics
polint,4,Interested,User's self-assessed interest in politics
polint,5,Very Interested,User's self-assessed interest in politics
polint,98,Don't know,User's self-assessed interest in politics
popgen_pc1,1,Strongly disagree,Agreement with: 'Politics in Brussels is practically controlled by a few major interest groups who only think about themselves'
popgen_pc1,2,Somewhat disagree,Agreement with: 'Politics in Brussels is practically controlled by a few major interest groups who only think about themselves'
popgen_pc1,3,Partly agree/Partly disagree,Agreement with: 'Politics in Brussels is practically controlled by a few major interest groups who only think about themselves'
popgen_pc1,4,Somewhat agree,Agreement with: 'Politics in Brussels is practically controlled by a few major interest groups who only think about themselves'
popgen_pc1,5,Strongly agree,Agreement with: 'Politics in Brussels is practically controlled by a few major interest groups who only think about themselves'
popgen_pc2,1,Strongly disagree,Agreement with: 'Many politicians in Brussels are corrupt'
popgen_pc2,2,Somewhat disagree,Agreement with: 'Many politicians in Brussels are corrupt'
popgen_pc2,3,Partly agree/Partly disagree,Agreement with: 'Many politicians in Brussels are corrupt'
popgen_pc2,4,Somewhat agree,Agreement with: 'Many politicians in Brussels are corrupt'
popgen_pc2,5,Strongly agree,Agreement with: 'Many politicians in Brussels are corrupt'
popgen_pc5,1,Strongly disagree,Agreement with: 'One can judge whether someone is a good or bad person based on their political opinions'
popgen_pc5,2,Somewhat disagree,Agreement with: 'One can judge whether someone is a good or bad person based on their political opinions'
popgen_pc5,3,Partly agree/Partly disagree,Agreement with: 'One can judge whether someone is a good or bad person based on their political opinions'
popgen_pc5,4,Somewhat agree,Agreement with: 'One can judge whether someone is a good or bad person based on their political opinions'
popgen_pc5,5,Strongly agree,Agreement with: 'One can judge whether someone is a good or bad person based on their political opinions'
popgen_pc6,1,Strongly disagree,Agreement with: 'People who don't share my political views are not necessarily evil people'
popgen_pc6,2,Somewhat disagree,Agreement with: 'People who don't share my political views are not necessarily evil people'
popgen_pc6,3,Partly agree/Partly disagree,Agreement with: 'People who don't share my political views are not necessarily evil people'
popgen_pc6,4,Somewhat agree,Agreement with: 'People who don't share my political views are not necessarily evil people'
popgen_pc6,5,Strongly agree,Agreement with: 'People who don't share my political views are not necessarily evil people'
popgen_pc7,1,Strongly disagree,Agreement with: 'People who don't share my political views are just misinformed'
popgen_pc7,2,Somewhat disagree,Agreement with: 'People who don't share my political views are just misinformed'
popgen_pc7,3,Partly agree/Partly disagree,Agreement with: 'People who don't share my political views are just misinformed'
popgen_pc7,4,Somewhat agree,Agreement with: 'People who don't share my political views are just misinformed'
popgen_pc7,5,Strongly agree,Agreement with: 'People who don't share my political views are just misinformed'
popnonreg_pc1,1,Strongly disagree,User's opinion on the statement: 'German interests are neglected in Brussels'
popnonreg_pc1,2,Somewhat disagree,User's opinion on the statement: 'German interests are neglected in Brussels'
popnonreg_pc1,3,Partly agree/Partly disagree,User's opinion on the statement: 'German interests are neglected in Brussels'
popnonreg_pc1,4,Somewhat agree,User's opinion on the statement: 'German interests are neglected in Brussels'
popnonreg_pc1,5,Strongly agree,User's opinion on the statement: 'German interests are neglected in Brussels'
popnonreg_pc2,1,Strongly disagree,User's opinion on the statement: 'Politicians use their power to improve people's lives'
popnonreg_pc2,2,Somewhat disagree,User's opinion on the statement: 'Politicians use their power to improve people's lives'
popnonreg_pc2,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians use their power to improve people's lives'
popnonreg_pc2,4,Somewhat agree,User's opinion on the statement: 'Politicians use their power to improve people's lives'
popnonreg_pc2,5,Strongly agree,User's opinion on the statement: 'Politicians use their power to improve people's lives'
popnonreg_pc4,1,Strongly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned German tax money'
popnonreg_pc4,2,Somewhat disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned German tax money'
popnonreg_pc4,3,Partly agree/Partly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned German tax money'
popnonreg_pc4,4,Somewhat agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned German tax money'
popnonreg_pc4,5,Strongly agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned German tax money'
popnonreg_pc5,1,Strongly disagree,"User's opinion on the statement: 'The people, not politicians, should make the most important political decisions'"
popnonreg_pc5,2,Somewhat disagree,"User's opinion on the statement: 'The people, not politicians, should make the most important political decisions'"
popnonreg_pc5,3,Partly agree/Partly disagree,"User's opinion on the statement: 'The people, not politicians, should make the most important political decisions'"
popnonreg_pc5,4,Somewhat agree,"User's opinion on the statement: 'The people, not politicians, should make the most important political decisions'"
popnonreg_pc5,5,Strongly agree,"User's opinion on the statement: 'The people, not politicians, should make the most important political decisions'"
popnonreg_pc6,1,Strongly disagree,User's opinion on the statement: 'The will of the people should be the most important principle for the country's politics'
popnonreg_pc6,2,Somewhat disagree,User's opinion on the statement: 'The will of the people should be the most important principle for the country's politics'
popnonreg_pc6,3,Partly agree/Partly disagree,User's opinion on the statement: 'The will of the people should be the most important principle for the country's politics'
popnonreg_pc6,4,Somewhat agree,User's opinion on the statement: 'The will of the people should be the most important principle for the country's politics'
popnonreg_pc6,5,Strongly agree,User's opinion on the statement: 'The will of the people should be the most important principle for the country's politics'
popnonreg_pc7,1,Strongly disagree,User's opinion on the statement: 'Politicians should always listen carefully to people's problems'
popnonreg_pc7,2,Somewhat disagree,User's opinion on the statement: 'Politicians should always listen carefully to people's problems'
popnonreg_pc7,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians should always listen carefully to people's problems'
popnonreg_pc7,4,Somewhat agree,User's opinion on the statement: 'Politicians should always listen carefully to people's problems'
popnonreg_pc7,5,Strongly agree,User's opinion on the statement: 'Politicians should always listen carefully to people's problems'
popnonreg_pc8,1,Strongly disagree,User's opinion on the statement: 'Politicians do not necessarily need to spend time with ordinary people to do a good job'
popnonreg_pc8,2,Somewhat disagree,User's opinion on the statement: 'Politicians do not necessarily need to spend time with ordinary people to do a good job'
popnonreg_pc8,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians do not necessarily need to spend time with ordinary people to do a good job'
popnonreg_pc8,4,Somewhat agree,User's opinion on the statement: 'Politicians do not necessarily need to spend time with ordinary people to do a good job'
popnonreg_pc8,5,Strongly agree,User's opinion on the statement: 'Politicians do not necessarily need to spend time with ordinary people to do a good job'
popreg_pc1,1,Strongly disagree,User's opinion on the statement: 'East German interests are neglected in Brussels'
popreg_pc1,2,Somewhat disagree,User's opinion on the statement: 'East German interests are neglected in Brussels'
popreg_pc1,3,Partly agree/Partly disagree,User's opinion on the statement: 'East German interests are neglected in Brussels'
popreg_pc1,4,Somewhat agree,User's opinion on the statement: 'East German interests are neglected in Brussels'
popreg_pc1,5,Strongly agree,User's opinion on the statement: 'East German interests are neglected in Brussels'
popreg_pc10,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in Western Germany'
popreg_pc10,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in Western Germany'
popreg_pc10,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in Western Germany'
popreg_pc10,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in Western Germany'
popreg_pc10,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in Western Germany'
popreg_pc12,1,Strongly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from Western Germany'
popreg_pc12,2,Somewhat disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from Western Germany'
popreg_pc12,3,Partly agree/Partly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from Western Germany'
popreg_pc12,4,Somewhat agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from Western Germany'
popreg_pc12,5,Strongly agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from Western Germany'
popreg_pc13,1,Strongly disagree,"User's opinion on the statement: 'The Western German people should make the most important political decisions for Western Germany, not the politicians in Berlin'"
popreg_pc13,2,Somewhat disagree,"User's opinion on the statement: 'The Western German people should make the most important political decisions for Western Germany, not the politicians in Berlin'"
popreg_pc13,3,Partly agree/Partly disagree,"User's opinion on the statement: 'The Western German people should make the most important political decisions for Western Germany, not the politicians in Berlin'"
popreg_pc13,4,Somewhat agree,"User's opinion on the statement: 'The Western German people should make the most important political decisions for Western Germany, not the politicians in Berlin'"
popreg_pc13,5,Strongly agree,"User's opinion on the statement: 'The Western German people should make the most important political decisions for Western Germany, not the politicians in Berlin'"
popreg_pc14,1,Strongly disagree,User's opinion on the statement: 'The will of the Western German population should be the most important principle for the politics in Western Germany'
popreg_pc14,2,Somewhat disagree,User's opinion on the statement: 'The will of the Western German population should be the most important principle for the politics in Western Germany'
popreg_pc14,3,Partly agree/Partly disagree,User's opinion on the statement: 'The will of the Western German population should be the most important principle for the politics in Western Germany'
popreg_pc14,4,Somewhat agree,User's opinion on the statement: 'The will of the Western German population should be the most important principle for the politics in Western Germany'
popreg_pc14,5,Strongly agree,User's opinion on the statement: 'The will of the Western German population should be the most important principle for the politics in Western Germany'
popreg_pc15,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully when it comes to the problems of the people in Western Germany'
popreg_pc15,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully when it comes to the problems of the people in Western Germany'
popreg_pc15,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully when it comes to the problems of the people in Western Germany'
popreg_pc15,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully when it comes to the problems of the people in Western Germany'
popreg_pc15,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully when it comes to the problems of the people in Western Germany'
popreg_pc16,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in Western Germany to do a good job'
popreg_pc16,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in Western Germany to do a good job'
popreg_pc16,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in Western Germany to do a good job'
popreg_pc16,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in Western Germany to do a good job'
popreg_pc16,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in Western Germany to do a good job'
popreg_pc2,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in East Germany'
popreg_pc2,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in East Germany'
popreg_pc2,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in East Germany'
popreg_pc2,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in East Germany'
popreg_pc2,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels do not use their power to improve the lives of people in East Germany'
popreg_pc4,1,Strongly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from East Germany'
popreg_pc4,2,Somewhat disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from East Germany'
popreg_pc4,3,Partly agree/Partly disagree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from East Germany'
popreg_pc4,4,Somewhat agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from East Germany'
popreg_pc4,5,Strongly agree,User's opinion on the statement: 'EU politicians in Brussels waste hard-earned tax money from East Germany'
popreg_pc5,1,Strongly disagree,"User's opinion on the statement: 'The East German people should make the most important political decisions for East Germany, not politicians in Berlin'"
popreg_pc5,2,Somewhat disagree,"User's opinion on the statement: 'The East German people should make the most important political decisions for East Germany, not politicians in Berlin'"
popreg_pc5,3,Partly agree/Partly disagree,"User's opinion on the statement: 'The East German people should make the most important political decisions for East Germany, not politicians in Berlin'"
popreg_pc5,4,Somewhat agree,"User's opinion on the statement: 'The East German people should make the most important political decisions for East Germany, not politicians in Berlin'"
popreg_pc5,5,Strongly agree,"User's opinion on the statement: 'The East German people should make the most important political decisions for East Germany, not politicians in Berlin'"
popreg_pc6,1,Strongly disagree,User's opinion on the statement: 'The will of the East German people should be the most important principle for East German politics'
popreg_pc6,2,Somewhat disagree,User's opinion on the statement: 'The will of the East German people should be the most important principle for East German politics'
popreg_pc6,3,Partly agree/Partly disagree,User's opinion on the statement: 'The will of the East German people should be the most important principle for East German politics'
popreg_pc6,4,Somewhat agree,User's opinion on the statement: 'The will of the East German people should be the most important principle for East German politics'
popreg_pc6,5,Strongly agree,User's opinion on the statement: 'The will of the East German people should be the most important principle for East German politics'
popreg_pc7,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully to the problems of people in East Germany'
popreg_pc7,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully to the problems of people in East Germany'
popreg_pc7,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully to the problems of people in East Germany'
popreg_pc7,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully to the problems of people in East Germany'
popreg_pc7,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels should always listen carefully to the problems of people in East Germany'
popreg_pc8,1,Strongly disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in East Germany to do a good job'
popreg_pc8,2,Somewhat disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in East Germany to do a good job'
popreg_pc8,3,Partly agree/Partly disagree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in East Germany to do a good job'
popreg_pc8,4,Somewhat agree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in East Germany to do a good job'
popreg_pc8,5,Strongly agree,User's opinion on the statement: 'Politicians in Brussels must spend time with ordinary people in East Germany to do a good job'
popreg_pc9,1,Strongly disagree,User's opinion on the statement: 'Western German interests are neglected in Brussels'
popreg_pc9,2,Somewhat disagree,User's opinion on the statement: 'Western German interests are neglected in Brussels'
popreg_pc9,3,Partly agree/Partly disagree,User's opinion on the statement: 'Western German interests are neglected in Brussels'
popreg_pc9,4,Somewhat agree,User's opinion on the statement: 'Western German interests are neglected in Brussels'
popreg_pc9,5,Strongly agree,User's opinion on the statement: 'Western German interests are neglected in Brussels'
protectionism,1,Strongly supports international free trade,The user's opinion on whether they favor free trade or protectionism
protectionism,11,Strongly supports protecting domestic production,The user's opinion on whether they favor free trade or protectionism
ptv_afd,-5,Very unlikely,Likelihood the user assigns to voting for the AFD in a future election
ptv_afd,5,Very likely,Likelihood the user assigns to voting for the AFD in a future election
ptv_bsw,-5,Very unlikely,Likelihood the user assigns to voting for the BSW in a future election
ptv_bsw,5,Very likely,Likelihood the user assigns to voting for the BSW in a future election
ptv_cdu,-5,Very unlikely,Likelihood the user assigns to voting for the CDU in a future election
ptv_cdu,5,Very likely,Likelihood the user assigns to voting for the CDU in a future election
ptv_climatelist,-5,Very unlikely,Likelihood the user assigns to voting for the Climate List in a future election
ptv_climatelist,5,Very likely,Likelihood the user assigns to voting for the Climate List in a future election
ptv_csu,-5,Very unlikely,Likelihood the user assigns to voting for the CSU in a future election
ptv_csu,5,Very likely,Likelihood the user assigns to voting for the CSU in a future election
ptv_fdp,-5,Very unlikely,Likelihood the user assigns to voting for the FDP in a future election
ptv_fdp,5,Very likely,Likelihood the user assigns to voting for the FDP in a future election
ptv_freevoters,-5,Very unlikely,Likelihood the user assigns to voting for the FREEVOTERS in a future election
ptv_freevoters,5,Very likely,Likelihood the user assigns to voting for the FREEVOTERS in a future election
ptv_greens,-5,Very unlikely,Likelihood the user assigns to voting for the GREENS in a future election
ptv_greens,5,Very likely,Likelihood the user assigns to voting for the GREENS in a future election
ptv_left,-5,Very unlikely,Likelihood the user assigns to voting for the LEFT in a future election
ptv_left,5,Very likely,Likelihood the user assigns to voting for the LEFT in a future election
ptv_spd,-5,Very unlikely,Likelihood the user assigns to voting for the SPD in a future election
ptv_spd,5,Very likely,Likelihood the user assigns to voting for the SPD in a future election
ptv_volt,-5,Very unlikely,Likelihood the user assigns to voting for the VOLT in a future election
ptv_volt,5,Very likely,Likelihood the user assigns to voting for the VOLT in a future election
random,,Random assignment variable,Random assignment for experimental conditions
recall,1,SPD,Political party voted for in the last federal election (2021) with the second vote
recall,10,Die PARTEI,Political party voted for in the last federal election (2021) with the second vote
recall,11,dieBasis,Political party voted for in the last federal election (2021) with the second vote
recall,12,Tierschutzpartei,Political party voted for in the last federal election (2021) with the second vote
recall,13,ÖDP,Political party voted for in the last federal election (2021) with the second vote
recall,14,Bündnis Deutschland,Political party voted for in the last federal election (2021) with the second vote
recall,15,Piratenpartei,Political party voted for in the last federal election (2021) with the second vote
recall,16,Diem/Mera25,Political party voted for in the last federal election (2021) with the second vote
recall,17,PdH (Partei der Humanisten),Political party voted for in the last federal election (2021) with the second vote
recall,18,(leer),Political party voted for in the last federal election (2021) with the second vote
recall,19,PdF (Partei des Fortschritts),Political party voted for in the last federal election (2021) with the second vote
recall,2,CDU/CSU,Political party voted for in the last federal election (2021) with the second vote
recall,20,Familienpartei,Political party voted for in the last federal election (2021) with the second vote
recall,21,PdV (Partei der Vernunft),Political party voted for in the last federal election (2021) with the second vote
recall,22,V3 Partei,Political party voted for in the last federal election (2021) with the second vote
recall,23,Letzte Generation (Parlament aufmischen),Political party voted for in the last federal election (2021) with the second vote
recall,24,Klimaliste,Political party voted for in the last federal election (2021) with the second vote
recall,25,Werteunion,Political party voted for in the last federal election (2021) with the second vote
recall,3,Grüne,Political party voted for in the last federal election (2021) with the second vote
recall,32,Sonstige,Political party voted for in the last federal election (2021) with the second vote
recall,33,Ich habe nicht gewählt,Political party voted for in the last federal election (2021) with the second vote
recall,4,FDP,Political party voted for in the last federal election (2021) with the second vote
recall,5,AfD,Political party voted for in the last federal election (2021) with the second vote
recall,6,Die Linke,Political party voted for in the last federal election (2021) with the second vote
recall,7,BSW,Political party voted for in the last federal election (2021) with the second vote
recall,8,Freie Wähler,Political party voted for in the last federal election (2021) with the second vote
recall,9,Volt,Political party voted for in the last federal election (2021) with the second vote
recall,97,Ich war nicht wahlberechtigt,Political party voted for in the last federal election (2021) with the second vote
recall,98,Ich habe ungültig gewählt,Political party voted for in the last federal election (2021) with the second vote
recall,99,Ich erinnere mich nicht,Political party voted for in the last federal election (2021) with the second vote
recallland,1,SPD,Political party voted for in the last state election (2019) with the second vote
recallland,10,Die PARTEI,Political party voted for in the last state election (2019) with the second vote
recallland,11,dieBasis,Political party voted for in the last state election (2019) with the second vote
recallland,12,Tierschutzpartei,Political party voted for in the last state election (2019) with the second vote
recallland,13,ÖDP,Political party voted for in the last state election (2019) with the second vote
recallland,14,Bündnis Deutschland,Political party voted for in the last state election (2019) with the second vote
recallland,15,Piratenpartei,Political party voted for in the last state election (2019) with the second vote
recallland,16,Diem/Mera25,Political party voted for in the last state election (2019) with the second vote
recallland,17,PdH (Partei der Humanisten),Political party voted for in the last state election (2019) with the second vote
recallland,18,(leer),Political party voted for in the last state election (2019) with the second vote
recallland,19,PdF (Partei des Fortschritts),Political party voted for in the last state election (2019) with the second vote
